First_pokemon,Second_pokemon,Winner,HP_diff,Atk_diff,Def_diff,SpAtk_diff,SpDef_diff,Spd_diff,1_2_Atk_Def,1_2_Atk_HP,1_2_SpAtk_SpDef,1_2_SpAtk_HP,2_1_Atk_Def,2_1_Atk_HP,2_1_SpAtk_SpDef,2_1_SpAtk_HP,Dmg_mul_1,Dmg_mul_2,Lgnd_1,Lgnd_2,Prio,Pkmn_1_win
219,49,219,25,30,10,15,0,55,25,35,25,45,-15,-20,10,5,2.0,1.0,0,0,0,1
736,244,244,17,-5,13,8,9,-3,5,5,28,28,-3,-7,11,3,2.0,1.0,0,0,1,0
683,245,245,12,80,20,-20,-50,-22,50,55,-80,-5,-50,-37,-10,3,1.0,1.0,0,0,1,0
533,452,533,10,35,72,55,37,31,30,25,35,65,-77,-20,-57,0,2.0,1.0,0,0,0,1
200,588,588,33,-7,25,-17,25,-64,-5,-17,5,-7,-23,-43,-3,-23,1.0,1.0,0,0,1,0
403,636,403,10,74,55,39,10,7,54,59,29,49,-75,-25,-20,0,1.0,1.0,0,0,0,1
56,561,561,-45,0,-20,-28,0,50,10,0,-10,-20,30,45,18,53,1.0,2.0,0,0,0,0
54,119,119,-5,-35,-70,-45,-15,-15,-65,-10,-30,-25,40,30,30,25,1.0,0.5,0,0,1,0
629,141,629,-20,15,-14,52,-35,29,61,45,12,17,60,50,-5,-15,2.0,2.0,0,0,0,1
547,779,547,77,0,72,25,70,47,22,27,15,32,-50,-50,-80,-70,1.0,2.0,0,0,0,1
380,547,547,-75,25,-70,-35,-80,-10,-25,-25,-90,-80,20,25,25,30,2.0,1.0,0,0,1,0
407,307,307,-23,-10,-5,-125,-105,-50,10,7,-95,-28,25,40,135,120,0.0,2.0,0,0,1,0
153,559,153,-30,22,50,-5,15,25,60,25,10,-25,-12,33,0,10,2.0,2.0,0,0,0,1
306,268,306,-32,-69,-45,30,15,19,-45,-35,25,25,69,66,-20,27,2.0,2.0,0,0,0,1
89,382,89,5,20,50,85,0,-35,15,15,40,75,-55,-10,-45,-15,2.0,1.0,0,0,1,1
54,32,32,0,-35,-5,-50,-25,-65,0,-5,-40,-20,40,30,35,30,1.0,1.0,0,0,1,0
172,745,745,3,4,18,44,-5,-2,24,9,19,34,2,2,-20,-13,1.0,1.0,0,0,1,0
16,110,110,0,-5,-20,10,0,-70,-25,-15,10,30,0,-10,0,20,1.0,2.0,0,0,1,0
537,734,537,5,43,47,78,77,57,5,20,75,60,-85,-28,-80,-23,1.0,1.0,0,0,0,1
278,94,278,-5,40,5,40,-10,10,30,20,15,20,-15,-15,-15,-15,1.0,2.0,0,0,0,1
342,643,643,-15,-47,-13,-12,22,-3,-23,-35,12,0,37,27,2,27,4.0,1.0,0,0,1,0
435,165,165,-11,-41,35,-119,-35,-84,39,3,-45,-31,45,55,109,99,1.0,1.0,0,1,1,0
638,691,691,0,0,20,50,45,5,-20,-15,30,25,-40,-15,-65,-25,0.0,2.0,0,0,0,0
734,718,718,-26,-98,-35,-93,-65,-70,-73,-49,-68,-44,60,75,90,75,0.5,1.0,0,0,1,0
298,781,298,21,4,-30,16,-15,9,0,21,5,11,26,-4,4,-26,2.0,1.0,0,0,0,1
42,113,42,45,20,-22,55,40,25,-25,20,45,45,-23,-45,-50,-55,1.0,1.0,0,0,0,1
97,316,97,44,15,30,15,50,-110,60,44,15,4,15,-15,-50,-55,1.0,1.0,0,0,1,1
416,397,397,0,-30,20,20,120,-30,-30,-30,20,20,-20,0,-120,0,0.5,0.5,1,0,1,0
483,400,483,-27,3,-23,-34,-29,29,-7,-27,-29,-49,13,-3,34,12,1.0,1.0,0,0,0,1
275,155,155,-10,-50,-20,35,-10,-30,0,5,10,25,70,65,-15,0,1.0,2.0,0,0,1,0
154,461,154,20,36,-30,-9,-20,94,10,45,-35,0,4,-11,-6,-11,1.0,2.0,0,0,0,1
309,4,4,-10,-40,-61,-42,-38,-20,-63,-20,-40,0,38,30,40,52,2.0,1.0,0,0,1,0
539,30,30,20,20,36,40,26,0,36,45,26,45,-20,5,-40,-15,2.0,1.0,1,0,0,0
545,266,545,100,36,70,55,70,49,50,50,50,50,-56,-86,-75,-105,1.0,1.0,1,0,0,1
283,340,340,30,35,10,-50,10,-75,30,40,5,15,-15,-25,45,35,2.0,0.0,0,0,1,0
232,254,254,7,30,13,-45,30,0,63,52,-25,-33,20,15,-10,5,2.0,1.0,0,0,0,0
384,427,427,-35,-110,-30,-110,-30,-45,-30,-35,-30,-35,110,110,110,110,1.0,1.0,0,1,1,0
161,781,161,12,18,-5,26,15,19,14,35,15,21,1,5,-26,-17,1.0,1.0,0,0,0,1
496,420,496,55,-5,-40,-90,-25,-105,5,5,-70,-40,50,-45,45,-5,1.0,1.0,0,1,1,1
268,159,159,10,34,20,-30,15,-29,44,44,10,5,-10,0,25,25,4.0,0.5,0,1,1,0
473,593,473,15,-30,-21,35,9,35,-5,-25,25,-15,46,-10,-19,-65,2.0,0.5,0,0,0,1
550,475,550,15,24,46,91,34,40,46,35,79,80,-24,-4,-46,-26,1.0,1.0,1,0,0,1
199,785,785,5,-70,-72,-38,-25,-44,-102,-45,-55,-45,40,20,8,-12,1.0,2.0,0,0,1,0
385,732,732,-18,9,-1,-14,51,-86,19,12,-9,-18,11,21,-46,14,1.0,1.0,0,0,1,0
488,196,488,-70,-50,-40,-45,0,5,-60,-65,-20,-20,30,55,25,95,1.0,1.0,0,0,0,1
30,587,30,5,40,26,10,36,8,42,30,22,10,-24,-15,-24,-5,1.0,2.0,0,0,0,1
36,494,494,-38,-68,-28,-25,-30,-46,-33,-46,-30,-53,63,60,25,10,0.5,2.0,0,0,1,0
513,184,184,-15,30,-15,-25,5,-5,40,35,-35,-40,25,20,-15,0,2.0,1.0,0,0,1,0
129,106,129,-5,19,-5,-8,-35,1,22,7,-50,-20,8,-7,-7,-7,1.0,1.0,0,0,0,1
6,604,6,28,19,-1,50,26,23,5,34,41,50,-13,-13,-35,-28,2.0,1.0,0,0,0,1
137,315,137,34,80,10,25,40,45,35,94,25,24,-55,-20,-40,-35,1.0,1.0,0,0,0,1
83,509,509,35,100,80,-5,-55,-5,70,75,-65,10,-110,-60,-5,-20,2.0,4.0,0,0,1,0
585,534,585,20,40,-2,-55,-67,-66,-2,55,-57,0,-40,-5,65,35,1.0,2.0,0,0,1,1
743,57,57,32,2,12,-4,-22,-77,32,47,-24,11,18,13,2,-17,1.0,1.0,0,0,1,0
220,723,723,-9,6,32,-55,-35,-58,7,6,-35,-24,-31,9,55,40,0.5,2.0,0,0,1,0
764,665,764,6,-12,18,45,19,19,3,8,50,55,-3,14,-14,4,1.0,2.0,0,0,0,1
708,439,708,47,99,67,59,44,50,97,97,64,67,-69,-49,-39,-39,2.0,0.5,1,0,0,1
28,545,545,-85,-10,-55,-39,-59,10,-30,-60,-59,-89,35,35,39,35,1.0,1.0,0,1,0,0
23,796,23,33,-20,-75,-30,-80,51,-70,30,-80,20,25,17,30,17,0.5,2.0,0,1,0,1
698,147,147,-10,20,-5,-60,-40,-70,25,20,-45,-15,10,10,55,55,1.0,1.0,0,0,1,0
306,635,635,-7,-30,5,60,55,-35,5,-10,65,50,30,27,-50,-3,1.0,1.0,0,0,1,0
158,666,158,5,-25,5,20,10,50,10,5,45,40,30,25,15,15,0.5,1.0,1,0,0,1
55,750,750,11,-45,-90,45,26,55,-85,6,41,31,50,40,-30,-25,0.25,1.0,0,0,0,0
513,439,513,17,69,12,-16,29,85,67,67,-11,-8,-14,-19,-24,-9,1.0,1.0,0,0,0,1
769,264,264,-38,-56,-35,-23,-12,-54,-26,-56,-8,-48,65,38,27,13,2.0,1.0,0,1,1,0
232,499,499,10,-20,-13,-100,25,-27,37,55,-30,-30,70,65,45,60,2.0,1.0,0,0,1,0
23,623,23,11,22,-5,-33,-10,4,0,8,-10,-2,-17,-25,33,20,1.0,1.0,0,0,0,1
97,250,250,30,10,-20,-30,5,-35,10,30,-30,-10,20,-10,-5,-10,1.0,1.0,0,0,1,0
324,544,544,-80,-115,25,-35,-20,-70,-65,-65,-65,-65,25,130,-10,50,1.0,0.5,0,1,1,0
517,10,517,56,52,60,60,-14,7,35,56,46,66,-77,-52,0,-50,2.0,0.5,0,0,0,1
586,461,461,25,66,35,-9,-15,-11,40,75,-35,0,-61,-16,-11,-16,1.0,2.0,0,0,1,0
779,349,349,-27,-50,8,-45,20,-57,30,0,10,-20,72,77,35,52,2.0,2.0,0,0,1,0
669,226,226,-10,-50,5,25,15,-10,-20,-30,25,5,25,30,-15,-10,1.0,0.5,0,0,1,0
623,53,623,12,-37,0,43,0,67,-22,-2,23,43,15,23,-20,-12,4.0,1.0,0,0,0,1
538,718,718,4,-45,35,-45,35,-4,-20,4,-20,4,-10,45,-10,45,0.5,2.0,1,0,1,0
438,242,438,41,39,36,39,36,43,69,69,69,69,-6,-11,-6,-11,1.0,2.0,0,0,0,1
523,759,523,23,8,43,91,39,15,-7,18,74,88,-58,-13,-56,-26,0.5,2.0,0,0,0,1
14,103,103,-15,-35,-45,-150,-75,-85,-50,-30,-75,-40,30,20,150,125,0.5,1.0,0,0,1,0
378,152,152,36,-39,-13,6,42,-32,-49,11,16,31,3,14,-32,-11,4.0,2.0,0,0,1,0
478,361,478,10,-10,10,55,55,35,10,10,55,55,10,10,-55,-10,1.0,1.0,0,0,0,1
137,698,137,10,40,45,5,15,25,70,70,0,0,-15,20,-20,-15,0.5,2.0,0,0,0,1
354,739,739,16,55,23,30,-23,-12,53,46,7,51,-25,-25,0,5,1.0,0.5,0,0,1,0
233,684,684,21,111,65,5,55,40,135,126,-10,-19,-41,-6,-70,-45,1.0,1.0,0,0,0,0
291,605,291,20,15,-49,60,-29,18,-29,30,21,60,5,-5,-10,-20,2.0,1.0,0,0,0,1
96,264,264,-35,-35,-35,-50,-25,-75,-5,-35,-35,-75,65,35,40,10,1.0,1.0,0,1,1,0
730,137,137,-20,-75,-57,-15,-32,-23,-50,-15,-30,-25,82,80,17,10,2.0,0.5,0,0,1,0
129,744,129,-15,-32,-13,-4,9,10,14,-3,-6,-30,59,44,-11,-11,1.0,1.0,0,0,0,1
611,107,611,40,-13,-25,55,30,48,2,62,55,50,40,35,-30,-45,0.5,0.5,0,0,0,1
58,560,560,-70,-78,-30,-60,-25,25,-20,-65,-25,-70,88,83,60,60,1.0,2.0,0,0,0,0
658,146,658,-60,12,0,-13,-35,43,17,-53,2,-33,5,-5,50,40,2.0,1.0,0,0,0,1
625,753,625,-20,-2,85,32,40,7,-10,-28,30,17,-93,-6,-42,5,1.0,1.0,0,0,0,1
524,27,524,35,35,95,14,44,25,65,55,14,5,-65,-15,-44,-44,1.0,1.0,0,0,0,1
794,474,794,-24,51,51,41,44,19,87,-19,77,-19,-15,-46,-8,-36,2.0,1.0,1,0,0,1
365,391,391,-54,-28,-23,-32,-12,-1,-43,-59,-47,-59,8,23,-3,27,2.0,1.0,0,0,1,0
592,585,592,33,-45,21,30,86,30,-45,-10,40,10,-21,2,-76,-53,1.0,1.0,0,0,0,1
512,586,512,5,-3,-25,72,25,5,2,47,52,47,30,45,-45,-30,2.0,2.0,0,0,0,1
526,424,424,-15,-70,-70,35,-15,0,-60,-20,45,35,80,65,25,15,1.0,1.0,0,1,0,0
70,456,70,10,-7,-88,78,-18,75,-83,5,32,90,12,2,-28,2,0.5,1.0,0,0,0,1
540,288,540,-3,55,9,75,9,15,64,47,64,47,0,-5,-20,-25,1.0,1.0,1,0,0,1
347,389,347,80,33,-7,43,-7,30,-17,53,-17,53,-43,-60,-53,-70,0.5,1.0,0,0,0,1
689,128,128,25,16,-10,2,0,-3,23,38,-13,-8,17,-3,-15,-35,1.0,1.0,0,0,1,0
211,701,701,4,-44,-5,-7,-25,-73,-5,-6,-25,-26,44,34,7,-23,2.0,1.0,0,1,1,0
336,385,336,0,-30,5,0,-45,40,-10,0,-60,0,15,30,-15,0,2.0,1.0,0,0,0,1
